date,geography,geography code,Disability: Disabled under the Equality Act: Day-to-day activities limited a lot,Disability: Disabled under the Equality Act: Day-to-day activities limited a little,Disability: Not disabled under the Equality Act
2021,Hartlepool,E06000001,11.3,11.5,77.1
2021,Middlesbrough,E06000002,10.8,11.1,78.1
2021,Redcar and Cleveland,E06000003,10.1,11.3,78.6
2021,Stockton-on-Tees,E06000004,9.1,11.0,79.8
2021,Darlington,E06000005,8.4,11.0,80.7
2021,Halton,E06000006,11.0,11.5,77.4
2021,Warrington,E06000007,7.7,10.1,82.2
2021,Blackburn with Darwen,E06000008,10.5,10.3,79.3
2021,Blackpool,E06000009,12.0,12.7,75.3
2021,"Kingston upon Hull, City of",E06000010,10.3,11.4,78.3
2021,East Riding of Yorkshire,E06000011,6.7,10.0,83.3
2021,North East Lincolnshire,E06000012,9.0,11.1,79.9
2021,North Lincolnshire,E06000013,8.2,10.8,81.0
2021,York,E06000014,5.9,10.9,83.2
2021,Derby,E06000015,8.8,11.1,80.1
2021,Leicester,E06000016,8.8,9.8,81.3
2021,Rutland,E06000017,4.9,9.8,85.3
2021,Nottingham,E06000018,10.4,11.6,78.0
2021,"Herefordshire, County of",E06000019,6.7,10.3,83.0
2021,Telford and Wrekin,E06000020,9.1,11.4,79.5
2021,Stoke-on-Trent,E06000021,10.5,11.9,77.6
2021,Bath and North East Somerset,E06000022,6.0,10.2,83.8
2021,"Bristol, City of",E06000023,8.3,11.1,80.6
2021,North Somerset,E06000024,7.0,10.7,82.4
2021,South Gloucestershire,E06000025,6.3,10.2,83.5
2021,Plymouth,E06000026,9.7,12.3,78.0
2021,Torbay,E06000027,9.9,12.2,77.9
2021,Swindon,E06000030,6.9,10.0,83.1
2021,Peterborough,E06000031,7.9,10.4,81.7
2021,Luton,E06000032,7.7,8.9,83.4
2021,Southend-on-Sea,E06000033,7.8,10.6,81.6
2021,Thurrock,E06000034,7.2,9.5,83.3
2021,Medway,E06000035,7.8,10.6,81.6
2021,Bracknell Forest,E06000036,5.3,9.2,85.5
2021,West Berkshire,E06000037,5.1,9.6,85.3
2021,Reading,E06000038,6.2,9.7,84.1
2021,Slough,E06000039,7.0,8.1,84.9
2021,Windsor and Maidenhead,E06000040,4.7,7.7,87.6
2021,Wokingham,E06000041,4.4,8.6,87.0
2021,Milton Keynes,E06000042,6.9,9.9,83.2
2021,Brighton and Hove,E06000043,8.0,11.5,80.5
2021,Portsmouth,E06000044,8.1,11.1,80.9
2021,Southampton,E06000045,8.2,11.3,80.4
2021,Isle of Wight,E06000046,8.8,12.5,78.7
2021,County Durham,E06000047,10.4,12.0,77.6
2021,Cheshire East,E06000049,6.5,9.8,83.8
2021,Cheshire West and Chester,E06000050,7.4,10.5,82.0
2021,Shropshire,E06000051,6.7,10.2,83.0
2021,Cornwall,E06000052,8.1,11.6,80.2
2021,Isles of Scilly,E06000053,4.0,8.3,87.7
2021,Wiltshire,E06000054,6.0,10.4,83.6
2021,Bedford,E06000055,6.6,9.7,83.7
2021,Central Bedfordshire,E06000056,5.8,9.7,84.5
2021,Northumberland,E06000057,8.3,11.3,80.4
2021,"Bournemouth, Christchurch and Poole",E06000058,7.3,10.5,82.2
2021,Dorset,E06000059,6.5,11.0,82.4
2021,Buckinghamshire,E06000060,5.0,8.6,86.4
2021,North Northamptonshire,E06000061,7.4,10.5,82.1
2021,West Northamptonshire,E06000062,6.3,9.7,84.0
2021,Cambridge,E07000008,6.2,10.5,83.3
2021,East Cambridgeshire,E07000009,5.8,10.1,84.1
2021,Fenland,E07000010,8.4,11.2,80.5
2021,Huntingdonshire,E07000011,6.1,10.2,83.7
2021,South Cambridgeshire,E07000012,5.1,9.7,85.2
2021,Allerdale,E07000026,8.2,10.4,81.4
2021,Barrow-in-Furness,E07000027,9.8,11.4,78.8
2021,Carlisle,E07000028,7.8,10.4,81.7
2021,Copeland,E07000029,9.1,10.9,80.1
2021,Eden,E07000030,5.7,9.4,84.9
2021,South Lakeland,E07000031,5.6,9.8,84.6
2021,Amber Valley,E07000032,7.9,11.1,81.0
2021,Bolsover,E07000033,10.6,11.9,77.5
2021,Chesterfield,E07000034,9.9,12.5,77.7
2021,Derbyshire Dales,E07000035,6.0,10.3,83.7
2021,Erewash,E07000036,8.0,11.2,80.8
2021,High Peak,E07000037,7.0,10.8,82.2
2021,North East Derbyshire,E07000038,8.5,11.3,80.2
2021,South Derbyshire,E07000039,7.0,10.5,82.4
2021,East Devon,E07000040,6.3,10.8,82.9
2021,Exeter,E07000041,7.3,11.6,81.1
2021,Mid Devon,E07000042,6.6,10.9,82.4
2021,North Devon,E07000043,7.2,10.9,81.9
2021,South Hams,E07000044,6.7,10.4,82.9
2021,Teignbridge,E07000045,7.2,11.4,81.4
2021,Torridge,E07000046,7.8,11.4,80.7
2021,West Devon,E07000047,7.3,11.6,81.1
2021,Eastbourne,E07000061,8.4,11.9,79.7
2021,Hastings,E07000062,9.8,12.6,77.6
2021,Lewes,E07000063,7.3,11.5,81.2
2021,Rother,E07000064,7.5,11.4,81.1
2021,Wealden,E07000065,5.8,9.9,84.3
2021,Basildon,E07000066,7.6,10.0,82.4
2021,Braintree,E07000067,6.6,10.2,83.2
2021,Brentwood,E07000068,5.4,8.3,86.3
2021,Castle Point,E07000069,6.8,9.5,83.7
2021,Chelmsford,E07000070,5.4,9.1,85.5
2021,Colchester,E07000071,6.8,10.7,82.6
2021,Epping Forest,E07000072,5.8,8.2,86.0
2021,Harlow,E07000073,7.5,10.5,82.0
2021,Maldon,E07000074,6.2,10.0,83.9
2021,Rochford,E07000075,5.7,9.3,85.1
2021,Tendring,E07000076,9.7,11.9,78.3
2021,Uttlesford,E07000077,4.6,8.6,86.8
2021,Cheltenham,E07000078,5.8,9.9,84.2
2021,Cotswold,E07000079,4.9,9.1,86.0
2021,Forest of Dean,E07000080,7.1,10.8,82.1
2021,Gloucester,E07000081,7.4,10.8,81.8
2021,Stroud,E07000082,5.8,10.3,83.9
2021,Tewkesbury,E07000083,5.5,10.0,84.5
2021,Basingstoke and Deane,E07000084,5.7,9.9,84.4
2021,East Hampshire,E07000085,5.2,9.6,85.3
2021,Eastleigh,E07000086,6.0,10.1,83.9
2021,Fareham,E07000087,5.5,9.9,84.6
2021,Gosport,E07000088,7.7,12.2,80.0
2021,Hart,E07000089,4.2,8.6,87.2
2021,Havant,E07000090,7.6,11.1,81.3
2021,New Forest,E07000091,6.1,10.2,83.7
2021,Rushmoor,E07000092,6.0,9.6,84.4
2021,Test Valley,E07000093,5.6,9.7,84.8
2021,Winchester,E07000094,5.1,9.8,85.1
2021,Broxbourne,E07000095,6.3,8.6,85.1
2021,Dacorum,E07000096,6.0,9.7,84.3
2021,Hertsmere,E07000098,5.9,8.4,85.7
2021,North Hertfordshire,E07000099,5.8,10.1,84.0
2021,Three Rivers,E07000102,5.2,8.6,86.2
2021,Watford,E07000103,6.2,8.7,85.1
2021,Ashford,E07000105,6.9,10.3,82.8
2021,Canterbury,E07000106,7.7,11.3,81.0
2021,Dartford,E07000107,6.6,9.3,84.1
2021,Dover,E07000108,8.6,11.6,79.8
2021,Gravesham,E07000109,7.3,9.8,82.9
2021,Maidstone,E07000110,6.3,9.8,83.8
2021,Sevenoaks,E07000111,5.5,9.0,85.5
2021,Folkestone and Hythe,E07000112,8.8,11.8,79.5
2021,Swale,E07000113,8.5,11.3,80.1
2021,Thanet,E07000114,9.7,12.3,78.0
2021,Tonbridge and Malling,E07000115,5.9,9.5,84.6
2021,Tunbridge Wells,E07000116,5.5,9.4,85.0
2021,Burnley,E07000117,10.4,11.2,78.5
2021,Chorley,E07000118,7.7,10.7,81.6
2021,Fylde,E07000119,7.6,10.6,81.9
2021,Hyndburn,E07000120,10.1,11.5,78.4
2021,Lancaster,E07000121,8.2,11.7,80.0
2021,Pendle,E07000122,8.7,9.8,81.5
2021,Preston,E07000123,9.1,10.7,80.2
2021,Ribble Valley,E07000124,5.4,8.5,86.0
2021,Rossendale,E07000125,9.0,11.0,80.0
2021,South Ribble,E07000126,7.2,10.6,82.2
2021,West Lancashire,E07000127,8.5,10.2,81.4
2021,Wyre,E07000128,8.8,11.1,80.2
2021,Blaby,E07000129,6.1,9.6,84.3
2021,Charnwood,E07000130,6.4,10.2,83.4
2021,Harborough,E07000131,5.1,9.3,85.5
2021,Hinckley and Bosworth,E07000132,6.5,10.5,83.0
2021,Melton,E07000133,5.7,10.3,84.0
2021,North West Leicestershire,E07000134,6.8,10.6,82.6
2021,Oadby and Wigston,E07000135,6.5,10.1,83.5
2021,Boston,E07000136,7.6,10.0,82.4
2021,East Lindsey,E07000137,9.9,12.3,77.8
2021,Lincoln,E07000138,9.2,12.8,78.1
2021,North Kesteven,E07000139,6.9,10.8,82.3
2021,South Holland,E07000140,7.2,10.4,82.4
2021,South Kesteven,E07000141,6.6,10.5,83.0
2021,West Lindsey,E07000142,7.8,11.6,80.7
2021,Breckland,E07000143,7.3,11.1,81.6
2021,Broadland,E07000144,6.4,10.6,83.0
2021,Great Yarmouth,E07000145,9.7,11.9,78.4
2021,King's Lynn and West Norfolk,E07000146,7.7,11.0,81.3
2021,North Norfolk,E07000147,7.6,12.1,80.4
2021,Norwich,E07000148,9.0,13.0,78.0
2021,South Norfolk,E07000149,6.2,10.4,83.3
2021,Craven,E07000163,5.5,9.7,84.8
2021,Hambleton,E07000164,5.7,9.7,84.6
2021,Harrogate,E07000165,5.4,9.5,85.1
2021,Richmondshire,E07000166,5.9,9.6,84.5
2021,Ryedale,E07000167,5.6,10.0,84.4
2021,Scarborough,E07000168,8.4,11.6,79.9
2021,Selby,E07000169,6.2,9.9,83.9
2021,Ashfield,E07000170,10.2,11.9,78.0
2021,Bassetlaw,E07000171,8.7,10.9,80.4
2021,Broxtowe,E07000172,7.3,11.0,81.7
2021,Gedling,E07000173,7.6,10.7,81.7
2021,Mansfield,E07000174,10.3,11.8,77.9
2021,Newark and Sherwood,E07000175,8.1,11.0,80.9
2021,Rushcliffe,E07000176,5.6,9.8,84.6
2021,Cherwell,E07000177,5.6,9.5,84.9
2021,Oxford,E07000178,6.2,10.2,83.6
2021,South Oxfordshire,E07000179,4.7,9.0,86.2
2021,Vale of White Horse,E07000180,5.0,9.6,85.4
2021,West Oxfordshire,E07000181,5.1,9.5,85.4
2021,Mendip,E07000187,6.3,10.5,83.2
2021,Sedgemoor,E07000188,7.3,10.8,81.9
2021,South Somerset,E07000189,6.4,10.7,82.9
2021,Cannock Chase,E07000192,9.0,11.3,79.7
2021,East Staffordshire,E07000193,6.8,10.4,82.8
2021,Lichfield,E07000194,6.6,10.1,83.3
2021,Newcastle-under-Lyme,E07000195,8.3,11.8,79.9
2021,South Staffordshire,E07000196,6.8,10.3,82.9
2021,Stafford,E07000197,6.7,10.6,82.7
2021,Staffordshire Moorlands,E07000198,7.4,10.3,82.3
2021,Tamworth,E07000199,8.1,10.9,81.0
2021,Babergh,E07000200,5.9,10.1,84.1
2021,Ipswich,E07000202,7.8,11.2,81.0
2021,Mid Suffolk,E07000203,5.8,10.0,84.2
2021,Elmbridge,E07000207,4.4,7.8,87.8
2021,Epsom and Ewell,E07000208,4.8,8.3,86.9
2021,Guildford,E07000209,4.8,8.9,86.3
2021,Mole Valley,E07000210,5.0,9.0,85.9
2021,Reigate and Banstead,E07000211,5.5,8.9,85.6
2021,Runnymede,E07000212,5.6,9.1,85.3
2021,Spelthorne,E07000213,5.7,8.7,85.6
2021,Surrey Heath,E07000214,4.8,8.5,86.7
2021,Tandridge,E07000215,5.5,8.9,85.5
2021,Waverley,E07000216,4.7,9.1,86.3
2021,Woking,E07000217,5.4,8.9,85.8
2021,North Warwickshire,E07000218,7.6,10.2,82.2
2021,Nuneaton and Bedworth,E07000219,8.5,10.9,80.5
2021,Rugby,E07000220,6.2,10.0,83.8
2021,Stratford-on-Avon,E07000221,5.3,9.5,85.2
2021,Warwick,E07000222,5.6,9.6,84.8
2021,Adur,E07000223,7.2,11.3,81.5
2021,Arun,E07000224,6.8,10.8,82.4
2021,Chichester,E07000225,5.4,9.8,84.8
2021,Crawley,E07000226,7.0,9.8,83.2
2021,Horsham,E07000227,5.0,9.1,85.9
2021,Mid Sussex,E07000228,5.0,9.2,85.8
2021,Worthing,E07000229,7.2,11.0,81.8
2021,Bromsgrove,E07000234,6.1,9.5,84.4
2021,Malvern Hills,E07000235,6.4,10.5,83.1
2021,Redditch,E07000236,7.7,10.6,81.8
2021,Worcester,E07000237,7.0,11.0,82.0
2021,Wychavon,E07000238,6.1,9.9,84.0
2021,Wyre Forest,E07000239,7.9,10.9,81.1
2021,St Albans,E07000240,4.8,8.6,86.6
2021,Welwyn Hatfield,E07000241,6.0,9.7,84.2
2021,East Hertfordshire,E07000242,4.9,8.9,86.1
2021,Stevenage,E07000243,7.6,10.9,81.5
2021,East Suffolk,E07000244,7.5,11.3,81.2
2021,West Suffolk,E07000245,6.1,10.0,83.9
2021,Somerset West and Taunton,E07000246,6.9,10.8,82.4
2021,Bolton,E08000001,9.3,10.0,80.7
2021,Bury,E08000002,8.5,10.5,80.9
2021,Manchester,E08000003,11.4,10.9,77.7
2021,Oldham,E08000004,9.5,10.4,80.0
2021,Rochdale,E08000005,9.8,10.7,79.6
2021,Salford,E08000006,10.3,10.9,78.9
2021,Stockport,E08000007,7.6,10.4,81.9
2021,Tameside,E08000008,9.6,11.2,79.2
2021,Trafford,E08000009,7.0,9.6,83.4
2021,Wigan,E08000010,9.4,10.8,79.8
2021,Knowsley,E08000011,13.0,10.7,76.4
2021,Liverpool,E08000012,12.7,11.1,76.2
2021,St. Helens,E08000013,10.8,11.3,78.0
2021,Sefton,E08000014,9.9,10.7,79.3
2021,Wirral,E08000015,10.6,11.6,77.8
2021,Barnsley,E08000016,10.6,11.5,77.9
2021,Doncaster,E08000017,9.5,10.9,79.6
2021,Rotherham,E08000018,9.9,11.4,78.8
2021,Sheffield,E08000019,9.1,11.6,79.4
2021,Newcastle upon Tyne,E08000021,9.7,11.2,79.1
2021,North Tyneside,E08000022,8.6,11.2,80.3
2021,South Tyneside,E08000023,10.5,11.6,77.9
2021,Sunderland,E08000024,11.2,11.9,76.9
2021,Birmingham,E08000025,9.6,10.4,80.1
2021,Coventry,E08000026,8.4,10.0,81.6
2021,Dudley,E08000027,8.3,10.9,80.8
2021,Sandwell,E08000028,9.9,10.1,80.0
2021,Solihull,E08000029,7.0,9.8,83.2
2021,Walsall,E08000030,9.4,10.7,79.9
2021,Wolverhampton,E08000031,9.0,10.4,80.5
2021,Bradford,E08000032,9.0,10.0,81.1
2021,Calderdale,E08000033,8.1,10.5,81.4
2021,Kirklees,E08000034,8.0,10.2,81.8
2021,Leeds,E08000035,7.6,10.4,82.0
2021,Wakefield,E08000036,9.4,11.1,79.5
2021,Gateshead,E08000037,9.9,11.5,78.6
2021,City of London,E09000001,3.9,7.9,88.2
2021,Barking and Dagenham,E09000002,9.0,8.9,82.1
2021,Barnet,E09000003,6.4,7.8,85.8
2021,Bexley,E09000004,6.6,8.8,84.6
2021,Brent,E09000005,7.1,7.6,85.3
2021,Bromley,E09000006,5.7,8.6,85.7
2021,Camden,E09000007,8.3,9.4,82.3
2021,Croydon,E09000008,7.0,8.8,84.2
2021,Ealing,E09000009,6.8,7.8,85.4
2021,Enfield,E09000010,7.3,8.0,84.6
2021,Greenwich,E09000011,8.4,9.3,82.3
2021,Hackney,E09000012,9.6,9.6,80.8
2021,Hammersmith and Fulham,E09000013,7.4,8.1,84.5
2021,Haringey,E09000014,7.9,8.7,83.4
2021,Harrow,E09000015,5.9,7.3,86.8
2021,Havering,E09000016,6.6,8.7,84.7
2021,Hillingdon,E09000017,6.5,8.2,85.3
2021,Hounslow,E09000018,6.8,8.0,85.2
2021,Islington,E09000019,10.0,10.4,79.6
2021,Kensington and Chelsea,E09000020,6.4,7.3,86.3
2021,Kingston upon Thames,E09000021,5.7,8.7,85.6
2021,Lambeth,E09000022,7.8,9.3,83.0
2021,Lewisham,E09000023,7.9,9.8,82.4
2021,Merton,E09000024,5.9,8.2,85.9
2021,Newham,E09000025,9.1,8.4,82.5
2021,Redbridge,E09000026,6.7,7.9,85.5
2021,Richmond upon Thames,E09000027,4.8,8.1,87.1
2021,Southwark,E09000028,8.2,9.4,82.4
2021,Sutton,E09000029,6.4,8.9,84.7
2021,Tower Hamlets,E09000030,10.4,9.7,79.9
2021,Waltham Forest,E09000031,7.7,9.0,83.3
2021,Wandsworth,E09000032,6.5,8.3,85.1
2021,Westminster,E09000033,7.8,8.0,84.1
2021,Isle of Anglesey,W06000001,8.5,10.6,81.0
2021,Gwynedd,W06000002,7.7,10.3,81.9
2021,Conwy,W06000003,9.2,11.3,79.5
2021,Denbighshire,W06000004,10.3,11.7,78.0
2021,Flintshire,W06000005,8.3,10.3,81.4
2021,Wrexham,W06000006,9.3,11.0,79.6
2021,Ceredigion,W06000008,8.5,11.5,80.0
2021,Pembrokeshire,W06000009,9.2,11.1,79.7
2021,Carmarthenshire,W06000010,10.5,11.1,78.4
2021,Swansea,W06000011,11.1,11.2,77.8
2021,Neath Port Talbot,W06000012,12.9,11.8,75.4
2021,Bridgend,W06000013,11.0,11.3,77.7
2021,Vale of Glamorgan,W06000014,8.6,10.8,80.6
2021,Cardiff,W06000015,9.5,11.0,79.6
2021,Rhondda Cynon Taff,W06000016,12.0,11.8,76.2
2021,Caerphilly,W06000018,12.0,11.5,76.4
2021,Blaenau Gwent,W06000019,13.1,11.5,75.4
2021,Torfaen,W06000020,11.2,11.9,76.9
2021,Monmouthshire,W06000021,7.3,10.3,82.3
2021,Newport,W06000022,10.0,10.8,79.2
2021,Powys,W06000023,7.6,10.5,81.9
2021,Merthyr Tydfil,W06000024,13.1,11.1,75.8
