,nc_walk_15,nc_walk_30,nc_transit_15,nc_transit_30,fnv_walk_15,na_walk_15,unhealthy_walk_15,carb_walk_15,protien_walk_15,dairy_walk_15,oil_walk_15,fnv_walk_30,na_walk_30,unhealthy_walk_30,carb_walk_30,protien_walk_30,dairy_walk_30,oil_walk_30,fnv_transit_15,na_transit_15,unhealthy_transit_15,carb_transit_15,protien_transit_15,dairy_transit_15,oil_transit_15,fnv_transit_30,na_transit_30,unhealthy_transit_30,carb_transit_30,protien_transit_30,dairy_transit_30,oil_transit_30,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
unhealthy_transit_15,0.9144823132915904,0.7497298272318691,0.9251013233660537,0.6585374068289613,0.9626046301581133,0.7824488023982136,0.979261762361585,0.9302654521445943,0.9275200707952308,0.9484493919310512,0.23048498259190997,0.7816217843674426,0.6528236093068169,0.7952127943152629,0.7697415031003773,0.7578831915880705,0.7379495555902771,0.17368060176638447,0.9847266617530741,0.8127417165693774,1.0,0.9555202809312501,0.9505184257181327,0.9688531529467176,0.233318223946797,0.6987673517017365,0.6161632836759519,0.7067651315770183,0.6987794843392692,0.6954885421704516,0.6853205524351476,0.13558254662332025,-0.04696680141788428,0.3210729707283155,0.26239769040482763,-0.1936809115043911,-0.4125993137124837,0.291857598979364,-0.19023545439123168,-0.3718479511692497,-0.051612114329347536
carb_transit_15,0.856050340521371,0.7223228504714565,0.8695980355664978,0.6654836013146914,0.9427631350010032,0.7765307216315424,0.93559441083477,0.9798335455520035,0.9027117122876827,0.9257331917635195,0.1630821539677814,0.7587963249976604,0.6333806185266664,0.76050603287062,0.7857048782240538,0.7283630184607087,0.7017981142192462,0.12639700797037395,0.9629230917467188,0.8043284594850315,0.9555202809312501,1.0,0.9219609401895135,0.9444810440998525,0.16608620931966553,0.7076447082183672,0.6222911991109935,0.7075333627596695,0.7295571586975766,0.6974232972313609,0.6855643891574219,0.09437805931249049,-0.020324053653065367,0.30774368496042864,0.2871710734575953,-0.13010267941469647,-0.387068197132578,0.28166111414547107,-0.1962637643675453,-0.3542226772842187,-0.026683886429012715
protien_transit_15,0.862159088501988,0.6879070096245202,0.8715374137706682,0.6063813841736007,0.9156985096565047,0.7047635646867535,0.9283226655845068,0.8976369501922953,0.9797301762477372,0.9030580031018041,0.1769036265221914,0.7308837032076018,0.5979841039298855,0.7422230745364468,0.7267222532301941,0.7554100520790413,0.7006322674215941,0.11138625483649506,0.9377130115060087,0.7361348033520605,0.9505184257181327,0.9219609401895135,1.0,0.9244276504592613,0.18118002694018726,0.6513889828524626,0.5685301463156965,0.6560318251256482,0.654261617406612,0.6736604420924565,0.6455766054434308,0.08488042528430394,-0.014620939260780176,0.30105402966561,0.24037245642883331,-0.16478078304199203,-0.3786515807957402,0.2783867061752655,-0.15034047826924277,-0.32420564177061667,-0.017969668203151302
dairy_transit_15,0.8972058197157189,0.7550783241929604,0.9136674091326972,0.6777074388780706,0.9533431929386041,0.7652069274190461,0.9442022107734082,0.9158199313014184,0.8978997632643911,0.9793173187369233,0.17457896786928634,0.7821987786207093,0.6441920861688621,0.7838992723218895,0.7738161946388876,0.7513642629840686,0.7459296107886162,0.1384552287771692,0.9779123087638338,0.7980615259523185,0.9688531529467176,0.9444810440998525,0.9244276504592613,1.0,0.1773038003031568,0.7147850429323844,0.6219801462772282,0.7152793906737331,0.7197594782508758,0.7088979963915977,0.7025843648582027,0.11305769033888934,-0.04825843725006489,0.30661469690922794,0.2680984189259147,-0.1875683818222677,-0.4018131734715393,0.27686475877103456,-0.18967018392193047,-0.35267375638774495,-0.05369328244472105
oil_transit_15,0.12603461778982236,0.04851672449935206,0.11467833090343467,0.027773931579300214,0.15713446049209584,0.18919921886721208,0.24772253290329624,0.17594060814673151,0.18916979450089041,0.18886647371026913,0.9870402563282934,0.07752418272662917,0.10365403515509507,0.13719897510853102,0.08763365858665058,0.08214030432416868,0.08007032375518093,0.6720500223765645,0.14937334726184037,0.17909632223758132,0.233318223946797,0.16608620931966553,0.18118002694018726,0.1773038003031568,1.0,0.054923199911176994,0.08538104136810278,0.09426847001876976,0.05654772949758409,0.05432380304523092,0.054819845226637666,0.479473083092028,-0.049637095032498635,0.061265931093641375,0.016964917395565982,-0.12030083388427376,-0.14201423798418866,0.10843057522436851,-0.07283623475979545,-0.15622807817397746,-0.04553974675097135
fnv_transit_30,0.7385021639475705,0.9049430977132304,0.7707666397273074,0.9684865418182558,0.6771272259289377,0.5443111472021398,0.6583942816050712,0.6653943027988372,0.6162658905691212,0.6784848307662059,0.05066570524313592,0.8884957312774494,0.7410950950581165,0.8749877671496202,0.8870153812816081,0.835098760689116,0.8424965954951931,0.09937369739928797,0.719198885903333,0.5853979252719054,0.6987673517017365,0.7076447082183672,0.6513889828524626,0.7147850429323844,0.054923199911176994,1.0,0.8809579318703645,0.9944370363554127,0.9841415459642506,0.9773012032298821,0.9858955713713315,0.13093149045768873,-0.00445412436470628,0.40324728966627776,0.3694154874296237,-0.1002630200505043,-0.43507022547888213,0.3403915909236966,-0.23444413732597708,-0.3619900928942307,-0.010915248277623473
na_transit_30,0.6381626910028235,0.8023700596140663,0.6654485006658151,0.8508089274284624,0.587762626625852,0.5753923839606222,0.5827594592650038,0.5867808681763964,0.5404800555021846,0.5903843580632795,0.07073630024893167,0.7879271451238214,0.8438579060510738,0.8000689862305017,0.8010087800841182,0.7503852139634337,0.7440764446792102,0.16135676357674067,0.6240609069084171,0.6073059697987727,0.6161632836759519,0.6222911991109935,0.5685301463156965,0.6219801462772282,0.08538104136810278,0.8809579318703645,1.0,0.8911009705091366,0.8786051453598455,0.866504020340356,0.8689002807939803,0.16540247722888657,-0.013695592827347497,0.39506067646603416,0.3256140074182112,-0.14274869305302204,-0.4424690893823876,0.42033133515813564,-0.21729972114320661,-0.3855846002629929,-0.01966907986330546
unhealthy_transit_30,0.7343549463320097,0.8992070507527651,0.7664186177544225,0.9620733914377959,0.6756514621947499,0.5498156000482394,0.6661465421715356,0.6650331836745363,0.6199956461909041,0.6784167425323203,0.08740417880110976,0.8835936966623681,0.7518655343105882,0.8828447800762976,0.8849592575455051,0.8367533523641547,0.8378078796609674,0.15681708680627826,0.7182193075330451,0.5908861416958489,0.7067651315770183,0.7075333627596695,0.6560318251256482,0.7152793906737331,0.09426847001876976,0.9944370363554127,0.8911009705091366,1.0,0.9811886074759646,0.9785077887470031,0.9808089039410036,0.19054938693760715,-0.011109804172681306,0.40778598061022303,0.3586029829104211,-0.11998571197622945,-0.45020843366242774,0.36280943853677355,-0.22117462081217468,-0.3787594651146101,-0.017456953871209307
carb_transit_30,0.722175773339446,0.8860545185236789,0.7563770624445003,0.9489373672311414,0.6748857939696522,0.5580258825124674,0.6577760174776162,0.6875827913546387,0.6187661254451864,0.6829549011935067,0.051795904013710134,0.876886208968073,0.7450511268821545,0.8674624902675927,0.9029232198841362,0.8298742272429053,0.8304207353326873,0.09544987282629769,0.7175274011574818,0.5984935362692916,0.6987794843392692,0.7295571586975766,0.654261617406612,0.7197594782508758,0.05654772949758409,0.9841415459642506,0.8786051453598455,0.9811886074759646,1.0,0.9679756914839077,0.9684129306440528,0.11337381025557708,0.03027380677066205,0.39841288172804984,0.3819342650997152,-0.049583905444875925,-0.41194813865985647,0.3380914296748589,-0.22868293021113426,-0.3415608890619993,0.022988623230514378
protien_transit_30,0.7214395418630258,0.8778000936459811,0.751959267382512,0.9322338468720451,0.6692131946738712,0.532212562999224,0.6562238409783988,0.656777384707355,0.639330882390118,0.6738816823034013,0.04984527304922699,0.8819883031472058,0.739155817464397,0.8747825817403198,0.8842425286597463,0.8728172917924184,0.8528618455985231,0.09549596439001723,0.7094817216852198,0.5717529422835822,0.6954885421704516,0.6974232972313609,0.6736604420924565,0.7088979963915977,0.05432380304523092,0.9773012032298821,0.866504020340356,0.9785077887470031,0.9679756914839077,1.0,0.9747802819499333,0.12315165930539872,0.0024562851866856746,0.41218138685223904,0.37462579876080065,-0.12174407180636136,-0.4481978241004047,0.3792890901514672,-0.1954412151617212,-0.3649113935189701,-0.004589300787730971
dairy_transit_30,0.7332163075306366,0.8910638071536312,0.7611039852003156,0.9451957261957401,0.6640172487722066,0.5287827552647698,0.6492588263928348,0.6468025920220157,0.6146009314033436,0.6701464281285717,0.05100792940781339,0.8926119634210529,0.742481464285786,0.8793796479987396,0.88582090072051,0.854568378782274,0.8814891250603516,0.09825889906196363,0.7019367954740788,0.566853908133751,0.6853205524351476,0.6855643891574219,0.6455766054434308,0.7025843648582027,0.054819845226637666,0.9858955713713315,0.8689002807939803,0.9808089039410036,0.9684129306440528,0.9747802819499333,1.0,0.12319906919936262,-0.007911916530291684,0.38455481336179625,0.36798520759308495,-0.10283501984077333,-0.4194456192265548,0.32893545276825464,-0.22135556489380342,-0.34235717136008387,-0.01477996653717058
oil_transit_30,0.06323852126851937,0.08347546809714022,0.052960735968224225,0.07994170842087873,0.10631618423016641,0.11812965469115883,0.14707009213636807,0.1037753564167808,0.09024812855433141,0.12468582529298568,0.4634378549193061,0.12967788215426443,0.16887674166718478,0.1907586887950589,0.12195894050790479,0.11023586275045431,0.12240866412846318,0.7920926234457096,0.09715094287470524,0.10793777097060339,0.13558254662332025,0.09437805931249049,0.08488042528430394,0.11305769033888934,0.479473083092028,0.13093149045768873,0.16540247722888657,0.19054938693760715,0.11337381025557708,0.12315165930539872,0.12319906919936262,1.0,-0.183815336445427,0.10962305606889393,-0.027750104047967062,-0.25162694627532933,-0.25859669802514007,0.24113220961738724,-0.21438584044383227,-0.29687147855613255,-0.18031139843678728
combined,-0.05626277014942732,-0.012252177189346333,-0.03901915865880581,0.017165124911547164,-0.07795827227084674,-0.00788348297208261,-0.06774498164249378,-0.03872600474440957,-0.031243604351528356,-0.06779862965093073,-0.05834283631530398,-0.036152646631388806,0.0022350211108806105,-0.03247620664344763,0.0044954106074689346,0.0018760161074136588,-0.041589217325335846,-0.09977981842802501,-0.05790323550106479,0.004040001956098092,-0.04696680141788428,-0.020324053653065367,-0.014620939260780176,-0.04825843725006489,-0.049637095032498635,-0.00445412436470628,-0.013695592827347497,-0.011109804172681306,0.03027380677066205,0.0024562851866856746,-0.007911916530291684,-0.183815336445427,1.0,0.1639862838106156,0.13311997028047645,0.6717307215184491,0.5967911001688125,0.11654887950175151,0.1860685413113374,0.6332577595582315,0.9933566012292604
pp_dec_domain_supermarket_proximity,0.3358908817953337,0.3932794910565134,0.34279030657527343,0.3991763654486874,0.3019411615025632,0.3098386120389756,0.3043106886795758,0.2898794641484157,0.28539033300163186,0.29111054730163144,0.05052147009499657,0.37302744472642174,0.36581725708393664,0.3795099783908939,0.36474680208150145,0.362724922822225,0.32615967711014,0.10987801245786685,0.31902860719501924,0.32497674995289233,0.3210729707283155,0.30774368496042864,0.30105402966561,0.30661469690922794,0.061265931093641375,0.40324728966627776,0.39506067646603416,0.40778598061022303,0.39841288172804984,0.41218138685223904,0.38455481336179625,0.10962305606889393,0.1639862838106156,1.0,0.29174804770808993,-0.19041342066591707,-0.44702633949539083,0.4999107273437307,-0.281880121483777,-0.3499984897993506,0.1554137307748087
pp_dec_domain_supermarket_accessibility,0.2936264880148675,0.3572284073579784,0.30403511772606484,0.3579288064516021,0.26173945059235126,0.2229847057338893,0.24891779908344397,0.2730400890028196,0.23241902618845187,0.25565191236477597,0.021594732738720042,0.34884629332065487,0.315419405004532,0.33428659961808643,0.3610066780460948,0.3334084128484128,0.32727524587598866,-0.007068088036175858,0.2759145867962363,0.23738684033798385,0.26239769040482763,0.2871710734575953,0.24037245642883331,0.2680984189259147,0.016964917395565982,0.3694154874296237,0.3256140074182112,0.3586029829104211,0.3819342650997152,0.37462579876080065,0.36798520759308495,-0.027750104047967062,0.13311997028047645,0.29174804770808993,1.0,-0.0130247532182158,-0.2997965409694919,0.1929736017036561,-0.11731768872310466,-0.26913675241790314,0.12273748182748413
pp_dec_domain_ecommerce_access,-0.2032039580570946,-0.14347916397465502,-0.18841467488407387,-0.0866307998948555,-0.20150502239433526,-0.1463081265985397,-0.2054160164917523,-0.13808675739345264,-0.16893690714986312,-0.19785165972353055,-0.12461125081158189,-0.14363520207396666,-0.14229060175145122,-0.15907640164939568,-0.08350617147576332,-0.12588719913024346,-0.13643852370366297,-0.18411178662211325,-0.18965032620523614,-0.14108759101437904,-0.1936809115043911,-0.13010267941469647,-0.16478078304199203,-0.1875683818222677,-0.12030083388427376,-0.1002630200505043,-0.14274869305302204,-0.11998571197622945,-0.049583905444875925,-0.12174407180636136,-0.10283501984077333,-0.25162694627532933,0.6717307215184491,-0.19041342066591707,-0.0130247532182158,1.0,0.6946453509226365,-0.2650231970486837,0.16263498962389103,0.6597563498762311,0.6618082221350114
pp_dec_domain_socio_demographic,-0.4182721819242082,-0.4296030222178056,-0.41082370322607586,-0.40097329792783476,-0.41462184044059536,-0.36266445557880145,-0.41349061547191224,-0.3858883762544832,-0.3763303387394095,-0.4033035266866168,-0.1383635242542194,-0.43782596961671805,-0.40172906531568675,-0.4471271732058491,-0.4135223242979975,-0.4132484294839722,-0.39867226520949733,-0.19813962598608867,-0.41386343281559046,-0.36726823299079114,-0.4125993137124837,-0.387068197132578,-0.3786515807957402,-0.4018131734715393,-0.14201423798418866,-0.43507022547888213,-0.4424690893823876,-0.45020843366242774,-0.41194813865985647,-0.4481978241004047,-0.4194456192265548,-0.25859669802514007,0.5967911001688125,-0.44702633949539083,-0.2997965409694919,0.6946453509226365,1.0,-0.4004243421280976,0.2260361473171946,0.869442179821343,0.5911753898490181
pp_dec_domain_nonsupermarket_proximity,0.27449425560337637,0.33745361596552426,0.27736746130792767,0.30057186326434787,0.2691702293820395,0.305369322318594,0.2835123263319527,0.27282705938672935,0.2692335298044718,0.26904053027073377,0.09726470366258459,0.3541635312771042,0.41735818089361476,0.37991747326623104,0.35872777036208187,0.3731232834419073,0.3252315956338099,0.2048316016516822,0.27803808145689474,0.3119727272953665,0.291857598979364,0.28166111414547107,0.2783867061752655,0.27686475877103456,0.10843057522436851,0.3403915909236966,0.42033133515813564,0.36280943853677355,0.3380914296748589,0.3792890901514672,0.32893545276825464,0.24113220961738724,0.11654887950175151,0.4999107273437307,0.1929736017036561,-0.2650231970486837,-0.4004243421280976,1.0,-0.28809492916965407,-0.3606424678610847,0.11144361258428495
pp_dec_domain_food_for_families,-0.20403863758366095,-0.24798291607797843,-0.19110113380926302,-0.1843205945622222,-0.21742221991138055,-0.19995859830765436,-0.20652357983754083,-0.21044537739935745,-0.16755533027682704,-0.20664287996538636,-0.06771931362101119,-0.29327686298351835,-0.25929555025344236,-0.28283596188051935,-0.28791295996337607,-0.24037685936415262,-0.2675790026922301,-0.166544939107395,-0.20424706912437113,-0.19036304927188888,-0.19023545439123168,-0.1962637643675453,-0.15034047826924277,-0.18967018392193047,-0.07283623475979545,-0.23444413732597708,-0.21729972114320661,-0.22117462081217468,-0.22868293021113426,-0.1954412151617212,-0.22135556489380342,-0.21438584044383227,0.1860685413113374,-0.281880121483777,-0.11731768872310466,0.16263498962389103,0.2260361473171946,-0.28809492916965407,1.0,0.23880154816964974,0.18733595043725174
pp_dec_domain_fuel_poverty,-0.35945188434739916,-0.37102008310767876,-0.3508876256595666,-0.31714818747451706,-0.37705213160678147,-0.34267968792765735,-0.37606875160040115,-0.3567360420093612,-0.32471818442122424,-0.3572224469021457,-0.1526809017506169,-0.391173388248499,-0.3699803371556727,-0.3992047206394929,-0.36713770121603717,-0.3435825608492607,-0.3463201417775115,-0.22750139134652014,-0.373086821887785,-0.3423203868461777,-0.3718479511692497,-0.3542226772842187,-0.32420564177061667,-0.35267375638774495,-0.15622807817397746,-0.3619900928942307,-0.3855846002629929,-0.3787594651146101,-0.3415608890619993,-0.3649113935189701,-0.34235717136008387,-0.29687147855613255,0.6332577595582315,-0.3499984897993506,-0.26913675241790314,0.6597563498762311,0.869442179821343,-0.3606424678610847,0.23880154816964974,1.0,0.6262952529475271
pp_dec_combined,-0.06003061867347529,-0.01702165543383556,-0.042705467729579866,0.010842561944024994,-0.08259289615408642,-0.014999488890719009,-0.07236067880921347,-0.045285419052721126,-0.034712726282613175,-0.07339389233321118,-0.05514408067249402,-0.04188377830036436,-0.0038479494908793877,-0.03784455230219204,-0.001950547363273477,-0.003933393065676107,-0.04844263874937772,-0.09806738498572005,-0.06265930011859626,-0.0029515442704205466,-0.051612114329347536,-0.026683886429012715,-0.017969668203151302,-0.05369328244472105,-0.04553974675097135,-0.010915248277623473,-0.01966907986330546,-0.017456953871209307,0.022988623230514378,-0.004589300787730971,-0.01477996653717058,-0.18031139843678728,0.9933566012292604,0.1554137307748087,0.12273748182748413,0.6618082221350114,0.5911753898490181,0.11144361258428495,0.18733595043725174,0.6262952529475271,1.0
